autor,titulo,universidad,director,año,país,género,misc
"DISNEY, Louann",Theme and Structure in the Prose Writing of José Emilio Pacheco: Longing and Inquietude in the Postmodem Narrative,Texas Tech,J Pérez / G Pérez,2007,Spanish America,Novel / Short Story,NA
"ESCALLÓN, Eduardo",El discurso narrati­vo histórico en las novelas latinoamericas El otoño del patriarca de Gabriel García Márquez y El arco y la lira de Alejo Carpentier,Boston College,Rosser,2007,Spanish America,Novel/Short Story,NA
"FAUGHT, David Alian","Subversive Verse: Zurita, Lihn, Berenguer, and Post- Coup Chilean Poetry","California, Irvine",Sefami,2007,Spanish America,Poetry,NA
"GIMÉNEZ, Teresa",Relaciones textuales entre artistas y novelistas latinoamericanos,Temple,Morell,2007,Spanish America,Novel / Short Story,NA
"GÓMEZ, Antonio Daniel",El discurso latinoamericano del exilio: Extraterritoria­lidad y novela en Argentina y Cuba desde los años 70,Pittsburgh,Martin,2007,Spanish America,Novel / Short Story,NA
"GUTIÉRREZ, Pedro",La alquimia poética de Octavio Paz: (La) Gran Obra en trans­formación y movimiento,CUNY Gradú­ate Center,Gottlieb,2007,Spanish America,Poetry,NA
"HENLON, Sheree Alicia",The Black Pariah: Representations of Haiti and Haitians in 19th and 20th Centuries,Iowa,Méndez Rodenas,2007,Spanish America,Novel / Short Story,NA
"ILLAS, Edgar",The Euphoric Politics of Postmodem Barcelona,Duke,Vilarós,2007,Spanish America,Multigeneric,NA
"LANDRUS, Vanesa",La prensa femenina argentina del siglo XIX y la constmcción de un imaginario nacional,Illinois,Meléndez,2007,Spanish America,Multigeneric,NA
"LÓPEZ, Margarita",Las voces subversivas en la novelística de Carmen Boullosa,"California, Irvine",Morales,2007,Spanish America,Novel / Short Story,NA
"LOZADA CERNA, María del Milagro",Evolución de la novela detectivesca británica a la dura norteamericana hasta la novela latinoamericana contemporánea,Temple,Morell,2007,Spanish America,Novel / Short Story,NA
"MARÍN CALDERÓN, Normon D",Borges <> Freud <> Lacan: Los senderos bifur­cados de Deseo,Purdue,Merrell,2007,Spanish America,Multigeneric,NA
"MELGAREJO ACOSTA, Maria del Pilar",El lenguaje de la regeneración: Producción del discurso político en Colombia y México,Pittsburgh,Lund,2007,Spanish America,Essay,NA
"MUYOLEMA-CALLE, Armando","Colonialismo y representación. Hacia una relectura de los discursos latinoamericanista, indigenista y clasista-étnico en los Andes del siglo XX",Pittsburgh,Beverly,2007,Spanish America,Multigeneric,NA
"NURIEL, Patricia Gabriela",Memoria e identidad en la novela judía latinoamericana contemporánea,Arizona State,Volele,2007,Spanish America,Novel / Short Story,NA
"ORTIZ, María Inés",La gastronomía como metáfora de la identidad en la literatura puertorriqueña del siglo XX,Cincinnati,Moreno,2007,Spanish America,Multigeneric,NA
"PEÑA, Beatriz",Imágenes del Nuevo Mundo en La relación de viaje (1599­1607) de Fray Diego de Ocaña,CUNY Gradúate Center,Chang-Rodríguez,2007,Spanish America,Chronicle,NA
"PUJOL, Eve G","Saber, género y poder en la narrativa mexicana contemporánea",Wisconsin,Podestá,2007,Spanish America,Novel / Short Story,NA
"RONDINEL, Sara",En cuerpo y alma: Metáforas de ciudadanía en la cultura peruana del siglo veinte,Stanford,Ruffmelli,2007,Spanish America,Other,NA
"SÁENZ DE VIGERA, Luis",Dena Ongi Dabil! Todo va dabuten!: Tensión y heterogeneidad de la cultura radical vasca en el límite del estado democrático (1978—),Duke,Vilarós,2007,Spanish America,Multigeneric,NA
"SANTIVAÑEZ, Roger",Enrique Lihn: Una poética del viaje,Temple,Galilea,2007,Spanish America,Poetry,NA
"SCHWIEZER, Federico R",Cristóbal Lozano’s Ideology in Soledades de la vida y desengaños del mundo,Texas,Zimic,2007,Spanish America,Novel/Short Story,NA
"SOROCK, Margery",Eligió Garcia y su aporte a la Nueva Narrativa Urbana en Colombia,CUNY,Filer,2007,Spanish America,Novel/Short Story,NA
"TALLEY, Virginia Bumice","Hybridity in the Novéis of José Donoso, Severo Sarduy, Diamela Eltit, and Pedro Lemebel",Virginia,Pellón,2007,Spanish America,Novel / Short Story,NA
"TEIPE, William Austin, Jr","Deconstructing Modernismo, Constructing Modemity","California, Irvine",Robbins,2007,Spanish America,Poetry,NA
"TSURUMI, Rebecca",The Closed Hand: Images of the Japanese in Modem Peruvian Literature,CUNY Gradúate Center,Reisz,2007,Spanish America,Multigeneric,NA
"VITULLO, Julieta",Fictions of a War: The Malvinas/Falklands War in Argentine Literature and Film,Rutgers,Montaldo,2007,Spanish America,Multigeneric,NA
"WARNER-AULT, Ann","Masked Men: Staging Identity in Mexican Experimental Prose, 1921-1929",Columbia,MacAdam,2007,Spanish America,Novel / Short Story,NA
"ZIGHELBOIM, Ari","Colonial Subjects, Colonial Objects: Cultural Strategies of the Inca Nobility in Viceregal Cuzco 1675-1825",Tulane,Charles,2007,Spanish America,Historiography,NA
"CASTILLÓN-TORRE, Catalina Teresa",Barroco y neobarroco en la literatura hispanoamericana y española contemporánea: Estudio de dos trayectorias: José Donoso y Álvaro Cunqueiro,Houston,Parkinson Zamora,2007,Trans-Atlantic,Multigeneric,NA
"GARCÍA SOORMALLY, Mina",Idolatry and the Construction of the Spanish Empire,Duke,Greer,2007,Trans-Atlantic,Multigeneric,NA
"GONZÁLEZ BARRETO, Óscar",Visualización de la marginalidad en el cine iberoamericano de fin de siglo,"California, Irvine",Navajas,2007,Trans-Atlantic,Multigeneric,NA
"HERNÁNDEZ DELGADO, Dilia","El tema del dolor en la obra poética de Garcilaso de la Vega, Gutiérrez de Celina, Diego de Mendoza, Lope de Vega y la madre Josefa del Castillo",Nebraska,Wilhelmsen,2007,Trans-Atlantic,Poetry,NA
"PÉREZ-LEAL, Pedro J","Literatura del VIH/SIDA: Enfermedad, cultura y metáfora",Georgetown,Kirkpatrick,2007,Trans-Atlantic,Novel / Short Story,NA
"PETTINAROLI, Elizabeth Marcela",Literary Emplacements: Choreography and Placemaking in the Early Modem Hispanic World,Virginia,Padrón,2007,Trans-Atlantic,Multigeneric,NA
"SABATE-LLOBERA, Nuria",Cuba's Literary Geography in Contemporary Catalan Narrative,Kentucky,Larson,2007,Trans-Atlantic,Novel / Short Story,NA
"AMEAL-PÉREZ, Alberto Jorge",En Babia: Una novela total,Houston,Kanellos,2007,United States,Novel / Short Story,NA
"ENSLEN, Joshua Alma",Embodying the Nation: Literature and Diplomacy in Brazil,Georgia,Quinlan,2008,Brazil,Multi-Generic,NA
